phonological_process,process_category,sound_a,sound_b,position,folder_name,folder_name_slash
Cluster Reduction,Syllable Structure,KR,K,Initial,KR Cluster Minimal Pairs - Initial,KR Cluster Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,L,(deleted),Final,Final L Minimal Pairs - Final,L/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,L,(deleted),Initial,Initial L Minimal Pairs - Initial,L/(deleted) Minimal Pairs - Initial
Vowelization,Substitution,L,UH,Final,L-UH Minimal Pairs - Final,L/UH Minimal Pairs - Final
Vowelization,Substitution,L,UH,Initial,L-UH Minimal Pairs - Initial,L/UH Minimal Pairs - Initial
Vowelization,Substitution,L,UH,Medial,L-UH Minimal Pairs - Medial,L/UH Minimal Pairs - Medial
Gliding,Substitution,L,W,Final,L-W Minimal Pairs - Final,L/W Minimal Pairs - Final
Gliding,Substitution,L,W,Initial,L-W Minimal Pairs - Initial,L/W Minimal Pairs - Initial
Gliding,Substitution,L,W,Medial,L-W Minimal Pairs - Medial,L/W Minimal Pairs - Medial
Gliding,Substitution,L,Y,Final,L-Y Minimal Pairs - Final,L/Y Minimal Pairs - Final
Gliding,Substitution,L,Y,Initial,L-Y Minimal Pairs - Initial,L/Y Minimal Pairs - Initial
Gliding,Substitution,L,Y,Medial,L-Y Minimal Pairs - Medial,L/Y Minimal Pairs - Medial
Final Consonant Deletion,Syllable Structure,M,(deleted),Final,Final M Minimal Pairs - Final,M/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,M,(deleted),Initial,Initial M Minimal Pairs - Initial,M/(deleted) Minimal Pairs - Initial
Denasalization,Assimilation,M,B,Final,M-B Minimal Pairs - Final,M/B Minimal Pairs - Final
Denasalization,Assimilation,M,B,Initial,M-B Minimal Pairs - Initial,M/B Minimal Pairs - Initial
Denasalization,Assimilation,M,B,Medial,M-B Minimal Pairs - Medial,M/B Minimal Pairs - Medial
Final Consonant Deletion,Syllable Structure,N,(deleted),Final,Final N Minimal Pairs - Final,N/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,N,(deleted),Initial,Initial N Minimal Pairs - Initial,N/(deleted) Minimal Pairs - Initial
Denasalization,Assimilation,N,D,Final,N-D Minimal Pairs - Final,N/D Minimal Pairs - Final
Denasalization,Assimilation,N,D,Initial,N-D Minimal Pairs - Initial,N/D Minimal Pairs - Initial
Denasalization,Assimilation,N,D,Medial,N-D Minimal Pairs - Medial,N/D Minimal Pairs - Medial
Final Consonant Deletion,Syllable Structure,NG,(deleted),Final,Final NG Minimal Pairs - Final,NG/(deleted) Minimal Pairs - Final
Denasalization,Assimilation,NG,G,Final,NG-G Minimal Pairs - Final,NG/G Minimal Pairs - Final
Denasalization,Assimilation,NG,G,Initial,NG-G Minimal Pairs - Initial,NG/G Minimal Pairs - Initial
Denasalization,Assimilation,NG,G,Medial,NG-G Minimal Pairs - Medial,NG/G Minimal Pairs - Medial
Fronting,Substitution,NG,N,Final,NG-N Minimal Pairs - Final,NG/N Minimal Pairs - Final
Fronting,Substitution,NG,N,Initial,NG-N Minimal Pairs - Initial,NG/N Minimal Pairs - Initial
Fronting,Substitution,NG,N,Medial,NG-N Minimal Pairs - Medial,NG/N Minimal Pairs - Medial
Final Consonant Deletion,Syllable Structure,P,(deleted),Final,Final P Minimal Pairs - Final,P/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,P,(deleted),Initial,Initial P Minimal Pairs - Initial,P/(deleted) Minimal Pairs - Initial
Prevocalic Voicing,Assimilation,P,B,Initial,P-B Minimal Pairs - Initial,P/B Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,PL,P,Initial,PL Cluster Minimal Pairs - Initial,PL Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,PR,P,Initial,PR Cluster Minimal Pairs - Initial,PR Cluster Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,R,(deleted),Final,Final R Minimal Pairs - Final,R/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,R,(deleted),Initial,Initial R Minimal Pairs - Initial,R/(deleted) Minimal Pairs - Initial
Vowelization,Substitution,R,ER,Final,R-ER Minimal Pairs - Final,R/ER Minimal Pairs - Final
Vowelization,Substitution,R,ER,Initial,R-ER Minimal Pairs - Initial,R/ER Minimal Pairs - Initial
Vowelization,Substitution,R,ER,Medial,R-ER Minimal Pairs - Medial,R/ER Minimal Pairs - Medial
Gliding,Substitution,R,W,Final,R-W Minimal Pairs - Final,R/W Minimal Pairs - Final
Gliding,Substitution,R,W,Initial,R-W Minimal Pairs - Initial,R/W Minimal Pairs - Initial
Gliding,Substitution,R,W,Medial,R-W Minimal Pairs - Medial,R/W Minimal Pairs - Medial
Gliding,Substitution,R,Y,Final,R-Y Minimal Pairs - Final,R/Y Minimal Pairs - Final
Gliding,Substitution,R,Y,Initial,R-Y Minimal Pairs - Initial,R/Y Minimal Pairs - Initial
Gliding,Substitution,R,Y,Medial,R-Y Minimal Pairs - Medial,R/Y Minimal Pairs - Medial
Final Consonant Deletion,Syllable Structure,S,(deleted),Final,Final S Minimal Pairs - Final,S/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,S,(deleted),Initial,Initial S Minimal Pairs - Initial,S/(deleted) Minimal Pairs - Initial
Stopping,Substitution,S,B,Final,S-B Minimal Pairs - Final,S/B Minimal Pairs - Final
Stopping,Substitution,S,B,Initial,S-B Minimal Pairs - Initial,S/B Minimal Pairs - Initial
Stopping,Substitution,S,B,Medial,S-B Minimal Pairs - Medial,S/B Minimal Pairs - Medial
Affrication,Substitution,S,CH,Final,S-CH Minimal Pairs - Final,S/CH Minimal Pairs - Final
Affrication,Substitution,S,CH,Initial,S-CH Minimal Pairs - Initial,S/CH Minimal Pairs - Initial
Affrication,Substitution,S,CH,Medial,S-CH Minimal Pairs - Medial,S/CH Minimal Pairs - Medial
Stopping,Substitution,S,D,Final,S-D Minimal Pairs - Final,S/D Minimal Pairs - Final
Stopping,Substitution,S,D,Initial,S-D Minimal Pairs - Initial,S/D Minimal Pairs - Initial
Stopping,Substitution,S,D,Medial,S-D Minimal Pairs - Medial,S/D Minimal Pairs - Medial
Stopping,Substitution,S,G,Final,S-G Minimal Pairs - Final,S/G Minimal Pairs - Final
Stopping,Substitution,S,G,Initial,S-G Minimal Pairs - Initial,S/G Minimal Pairs - Initial
Stopping,Substitution,S,G,Medial,S-G Minimal Pairs - Medial,S/G Minimal Pairs - Medial
Stopping,Substitution,S,K,Final,S-K Minimal Pairs - Final,S/K Minimal Pairs - Final
Stopping,Substitution,S,K,Initial,S-K Minimal Pairs - Initial,S/K Minimal Pairs - Initial
Stopping,Substitution,S,K,Medial,S-K Minimal Pairs - Medial,S/K Minimal Pairs - Medial
Stopping,Substitution,S,P,Final,S-P Minimal Pairs - Final,S/P Minimal Pairs - Final
Stopping,Substitution,S,P,Initial,S-P Minimal Pairs - Initial,S/P Minimal Pairs - Initial
Stopping,Substitution,S,P,Medial,S-P Minimal Pairs - Medial,S/P Minimal Pairs - Medial
Stopping,Substitution,S,T,Final,S-T Minimal Pairs - Final,S/T Minimal Pairs - Final
Stopping,Substitution,S,T,Initial,S-T Minimal Pairs - Initial,S/T Minimal Pairs - Initial
Stopping,Substitution,S,T,Medial,S-T Minimal Pairs - Medial,S/T Minimal Pairs - Medial
Prevocalic Voicing,Assimilation,S,Z,Initial,S-Z Minimal Pairs - Initial,S/Z Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,SH,(deleted),Final,Final SH Minimal Pairs - Final,SH/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,SH,(deleted),Initial,Initial SH Minimal Pairs - Initial,SH/(deleted) Minimal Pairs - Initial
Stopping,Substitution,SH,B,Final,SH-B Minimal Pairs - Final,SH/B Minimal Pairs - Final
Stopping,Substitution,SH,B,Initial,SH-B Minimal Pairs - Initial,SH/B Minimal Pairs - Initial
Stopping,Substitution,SH,B,Medial,SH-B Minimal Pairs - Medial,SH/B Minimal Pairs - Medial
Affrication,Substitution,SH,CH,Final,SH-CH Minimal Pairs - Final,SH/CH Minimal Pairs - Final
Affrication,Substitution,SH,CH,Initial,SH-CH Minimal Pairs - Initial,SH/CH Minimal Pairs - Initial
Affrication,Substitution,SH,CH,Medial,SH-CH Minimal Pairs - Medial,SH/CH Minimal Pairs - Medial
Stopping,Substitution,SH,D,Final,SH-D Minimal Pairs - Final,SH/D Minimal Pairs - Final
Stopping,Substitution,SH,D,Initial,SH-D Minimal Pairs - Initial,SH/D Minimal Pairs - Initial
Stopping,Substitution,SH,D,Medial,SH-D Minimal Pairs - Medial,SH/D Minimal Pairs - Medial
Stopping,Substitution,SH,G,Final,SH-G Minimal Pairs - Final,SH/G Minimal Pairs - Final
Stopping,Substitution,SH,G,Initial,SH-G Minimal Pairs - Initial,SH/G Minimal Pairs - Initial
Stopping,Substitution,SH,G,Medial,SH-G Minimal Pairs - Medial,SH/G Minimal Pairs - Medial
Stopping,Substitution,SH,K,Final,SH-K Minimal Pairs - Final,SH/K Minimal Pairs - Final
Stopping,Substitution,SH,K,Initial,SH-K Minimal Pairs - Initial,SH/K Minimal Pairs - Initial
Stopping,Substitution,SH,K,Medial,SH-K Minimal Pairs - Medial,SH/K Minimal Pairs - Medial
Stopping,Substitution,SH,P,Final,SH-P Minimal Pairs - Final,SH/P Minimal Pairs - Final
Stopping,Substitution,SH,P,Initial,SH-P Minimal Pairs - Initial,SH/P Minimal Pairs - Initial
Stopping,Substitution,SH,P,Medial,SH-P Minimal Pairs - Medial,SH/P Minimal Pairs - Medial
Depalatalization,Substitution,SH,S,Final,SH-S Minimal Pairs - Final,SH/S Minimal Pairs - Final
Depalatalization,Substitution,SH,S,Initial,SH-S Minimal Pairs - Initial,SH/S Minimal Pairs - Initial
Depalatalization,Substitution,SH,S,Medial,SH-S Minimal Pairs - Medial,SH/S Minimal Pairs - Medial
Stopping,Substitution,SH,T,Final,SH-T Minimal Pairs - Final,SH/T Minimal Pairs - Final
Stopping,Substitution,SH,T,Initial,SH-T Minimal Pairs - Initial,SH/T Minimal Pairs - Initial
Stopping,Substitution,SH,T,Medial,SH-T Minimal Pairs - Medial,SH/T Minimal Pairs - Medial
Cluster Reduction,Syllable Structure,SK,K,Initial,SK Cluster Minimal Pairs - Initial,SK Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,SL,L,Initial,SL Cluster Minimal Pairs - Initial,SL Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,SM,M,Initial,SM Cluster Minimal Pairs - Initial,SM Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,SN,N,Initial,SN Cluster Minimal Pairs - Initial,SN Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,SP,P,Initial,SP Cluster Minimal Pairs - Initial,SP Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,ST,T,Initial,ST Cluster Minimal Pairs - Initial,ST Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,SW,W,Initial,SW Cluster Minimal Pairs - Initial,SW Cluster Minimal Pairs - Initial
Final Consonant Deletion,Syllable Structure,T,(deleted),Final,Final T Minimal Pairs - Final,T/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,T,(deleted),Initial,Initial T Minimal Pairs - Initial,T/(deleted) Minimal Pairs - Initial
Affrication,Substitution,T,CH,Final,T-CH Minimal Pairs - Final,T/CH Minimal Pairs - Final
Affrication,Substitution,T,CH,Initial,T-CH Minimal Pairs - Initial,T/CH Minimal Pairs - Initial
Affrication,Substitution,T,CH,Medial,T-CH Minimal Pairs - Medial,T/CH Minimal Pairs - Medial
